for epoch -1 ; avg training acc : 2.5; avg training loss : 0.0; testing accuracy : -1
for epoch 0 ; avg training acc : 2.7; avg training loss : 0.0; testing accuracy : -1
for epoch 1 ; avg training acc : 3.1; avg training loss : 0.0; testing accuracy : -1
for epoch 2 ; avg training acc : 3.2; avg training loss : 0.0; testing accuracy : -1
for epoch 3 ; avg training acc : 3.2; avg training loss : 0.0; testing accuracy : -1
for epoch 4 ; avg training acc : 3.2; avg training loss : 0.0; testing accuracy : -1
for epoch 0 ; avg training acc : 0.01484375; avg training loss : 0.3136206865310669; testing accuracy : -1
for epoch 1 ; avg training acc : 0.06640625; avg training loss : 0.16949832439422607; testing accuracy : -1
for epoch 2 ; avg training acc : 0.1; avg training loss : 0.13547860085964203; testing accuracy : -1
for epoch 3 ; avg training acc : 0.15390625; avg training loss : 0.13367097079753876; testing accuracy : -1
for epoch 4 ; avg training acc : 0.2265625; avg training loss : 0.12216808646917343; testing accuracy : -1
for epoch 0 ; avg training acc : 0.01953125; avg training loss : 0.3583742678165436; testing accuracy : -1
for epoch 1 ; avg training acc : 0.05546875; avg training loss : 0.17583566904067993; testing accuracy : -1
for epoch 2 ; avg training acc : 0.08828125; avg training loss : 0.13831190764904022; testing accuracy : -1
for epoch 3 ; avg training acc : 0.1171875; avg training loss : 0.1302482932806015; testing accuracy : -1
for epoch 4 ; avg training acc : 0.1625; avg training loss : 0.12005364894866943; testing accuracy : -1
for epoch 0 ; avg training acc : 0.01640625; avg training loss : 1.3347885608673096; testing accuracy : -1
for epoch 1 ; avg training acc : 0.07265625; avg training loss : 0.9243273735046387; testing accuracy : -1
for epoch 2 ; avg training acc : 0.17734375; avg training loss : 0.5681520104408264; testing accuracy : -1
for epoch 3 ; avg training acc : 0.375; avg training loss : 0.5769713521003723; testing accuracy : -1
for epoch 4 ; avg training acc : 0.5921875; avg training loss : 0.36765167117118835; testing accuracy : -1
for epoch 0 ; avg training acc : 0.015625; avg training loss : 0.28743046522140503; testing accuracy : -1
for epoch 1 ; avg training acc : 0.02890625; avg training loss : 0.17064350843429565; testing accuracy : -1
for epoch 2 ; avg training acc : 0.05390625; avg training loss : 0.14122962951660156; testing accuracy : -1
for epoch 3 ; avg training acc : 0.0796875; avg training loss : 0.1319393664598465; testing accuracy : -1
for epoch 4 ; avg training acc : 0.10859375; avg training loss : 0.11882610619068146; testing accuracy : -1
for epoch 2 ; avg training acc : 0.0453125; avg training loss : 1.067468523979187; testing accuracy : 0.06796875
for epoch 3 ; avg training acc : 0.1125; avg training loss : 0.9402610063552856; testing accuracy : 0.159375
for epoch 4 ; avg training acc : 0.27578125; avg training loss : 0.5644685626029968; testing accuracy : 0.4578125
for epoch 0 ; avg training acc : 0.02265625; avg training loss : 1.3997081518173218; testing accuracy : 0.04296875
for epoch 1 ; avg training acc : 0.0390625; avg training loss : 1.1486867666244507; testing accuracy : 0.06484375
for epoch 2 ; avg training acc : 0.08671875; avg training loss : 0.909864604473114; testing accuracy : 0.12421875
for epoch 3 ; avg training acc : 0.1453125; avg training loss : 0.8168014883995056; testing accuracy : 0.25078125
for epoch 4 ; avg training acc : 0.2984375; avg training loss : 0.6439229846000671; testing accuracy : 0.434375
for epoch 0 ; avg training acc : 0.02421875; avg training loss : 1.3385356664657593; testing accuracy : 0.04609375
for epoch 1 ; avg training acc : 0.0484375; avg training loss : 0.6211245059967041; testing accuracy : 0.07109375
for epoch 2 ; avg training acc : 0.1078125; avg training loss : 0.3459148108959198; testing accuracy : 0.25625
for epoch 3 ; avg training acc : 0.42421875; avg training loss : 0.23704448342323303; testing accuracy : 0.65703125
for epoch 4 ; avg training acc : 0.703125; avg training loss : 0.1514640599489212; testing accuracy : 0.815625
for epoch 0 ; avg training acc : 0.013671875; avg training loss : 1.02521550655365; testing accuracy : 0.02734375
for epoch 1 ; avg training acc : 0.056640625; avg training loss : 0.42415520548820496; testing accuracy : 0.0390625
for epoch 2 ; avg training acc : 0.0869140625; avg training loss : 0.2027493715286255; testing accuracy : 0.03125
for epoch 3 ; avg training acc : 0.1240234375; avg training loss : 0.13775382936000824; testing accuracy : 0.03515625
for epoch 4 ; avg training acc : 0.1533203125; avg training loss : 0.11392821371555328; testing accuracy : 0.0546875
for epoch 0 ; avg training acc : 0.025390625; avg training loss : 0.8073743581771851; testing accuracy : 0.02734375
for epoch 1 ; avg training acc : 0.0419921875; avg training loss : 0.2808360755443573; testing accuracy : 0.02734375
for epoch 2 ; avg training acc : 0.0537109375; avg training loss : 0.14577922224998474; testing accuracy : 0.03125
for epoch 3 ; avg training acc : 0.099609375; avg training loss : 0.11342759430408478; testing accuracy : 0.0390625
for epoch 4 ; avg training acc : 0.1220703125; avg training loss : 0.09143474698066711; testing accuracy : 0.0390625
for epoch 0 ; avg training acc : 0.01953125; avg training loss : 0.6574150919914246; testing accuracy : 0.0390625
for epoch 1 ; avg training acc : 0.0498046875; avg training loss : 0.24229876697063446; testing accuracy : 0.04296875
for epoch 2 ; avg training acc : 0.0888671875; avg training loss : 0.13620886206626892; testing accuracy : 0.05859375
for epoch 3 ; avg training acc : 0.185546875; avg training loss : 0.10220402479171753; testing accuracy : 0.1328125
for epoch 4 ; avg training acc : 0.462890625; avg training loss : 0.08351106941699982; testing accuracy : 0.3515625
for epoch 0 ; avg training acc : 0.0244140625; avg training loss : 0.6037030816078186; testing accuracy : 0.03515625
